,Label,Detectors,Lat,Lng
1424,I-494 NB N of Baker Rd,V494W09,44.90561,-93.44804
1425,I-35W SB S of 50th St,L35WS55_5,44.91222,-93.27488
1426,I-535 SB @ Blatnik Approach,V535S141,46.75971,-92.11206
1427,T.H.169 NB @ Mitchell Bridge,V169101,47.44122,-92.89221
1428,I-35W NB @ 28th St,L35WN50_1,44.9518,-93.2734
1429,I-35W NB @ 28th St,L35WN50_2,44.9518,-93.27344
1430,I-35W NB @ 28th St,L35WN50_3,44.9518,-93.27349
1431,I-35W SB @ Burnsville Pkwy,L35WS78_1,44.76833,-93.28915
1432,I-35W NB @ 28th St,L35WN50_4,44.9518,-93.27352
1433,I-694 SB @ 15th St N,V694S15,44.97064,-92.95896
1434,I-35W SB @ Burnsville Pkwy,L35WS78_2,44.76834,-93.28891
1435,I-35W NB @ 28th St,L35WN50_5,44.9518,-93.27359
1436,I-35W SB @ Burnsville Pkwy,L35WS78_3,44.76834,-93.28886
1437,I-35E NB @ Little Canada Rd,V35EN12,45.02244,-93.08959
1438,I-35W SB S of 50th St,L35WS55_4,44.91222,-93.27492
1439,I-35E NB @ Co Rd E,V35EN13,45.04827,-93.05934
1440,I-35W SB S of 50th St,L35WS55_3,44.91222,-93.27496
1441,I-94 EB @ Victoria St,L94E78_4,44.95167,-93.13367
1442,I-35W SB S of 50th St,L35WS55_2,44.91222,-93.275
1443,I-35E NB @ Pennsylvania Ave,V35EN10,44.96094,-93.09062
1444,I-35W SB S of 50th St,L35WS55_1,44.91222,-93.27503
1445,I-35E NB @ Maryland Ave,V35EN11,44.97696,-93.08797
1446,T.H.10 EB @ Dilworth (MP 4.131),VDL10E05,46.87426,-96.70167
1447,I-94 EB @ Victoria St,L94E78_2,44.95164,-93.13367
1448,U.S.2 NB,VD2_2W52,47.79182,-96.61152
1449,I-94 EB @ Victoria St,L94E78_3,44.95165,-93.13367
1450,I-35E NB S of Co Rd J,V35EN14,45.1109,-93.04922
1451,I-94 EB @ Victoria St,L94E78_1,44.9516,-93.13367
1452,T.H.61 SB @ Lafayette Tunnel,V61S070,47.10018,-91.54721
1453,I-394 WB E of Co Rd 73,V394W04B,44.97252,-93.41641
1454,I-35 NB S of C.S.A.H.1,V35N40T1,44.41531,-93.2921
1455,U.S.169 NB N of Quail Rd,VD3_169N50,46.05981,-93.66188
1456,I-35 NB (MP 64.8),V35N40,44.4018,-93.2922
1457,T.H.2 WB @ Belnap Viaduct,V2W241,46.72066,-92.10677
1458,I-35E NB N of W. 7th St,V35EN07,44.9207,-93.14456
1459,I-394 WB @ Louisiana Ave,PCMS01,44.97186,-93.37057
1460,I-35W NB @ Black Dog Rd,MP35WN06_2,44.79696,-93.28891
1461,I-394 WB @ Xenia Ave,PCMS02,44.97084,-93.35133
1462,I-35W NB @ Black Dog Rd,MP35WN06_1,44.79696,-93.28891
1463,I-35 NB S of T.H.21,V35N30T3,44.30755,-93.30898
