,Station,Lat,Lng
11113,no ID,44.94362,-93.348
11114,no ID,44.94294,-93.34948
11115,no ID,44.94058,-93.35318
11116,no ID,44.93844,-93.3592
11117,no ID,44.93821,-93.36013
11118,no ID,44.93837,-93.36582
11119,no ID,44.93813,-93.36831
11120,no ID,44.93565,-93.38586
11121,no ID,44.93505,-93.39014
11122,no ID,44.93461,-93.39693
11123,no ID,44.9337,-93.40593
11124,no ID,44.93298,-93.41458
11125,no ID,44.93292,-93.42115
11126,no ID,44.93272,-93.42374
11127,no ID,44.93168,-93.4268
11128,no ID,44.9303,-93.42948
11129,no ID,44.92729,-93.43562
11130,no ID,44.92666,-93.43764
11131,no ID,44.92634,-93.43977
11132,no ID,44.92633,-93.44484
11133,no ID,44.92598,-93.44735
11134,no ID,44.92564,-93.44888
11135,no ID,44.9252,-93.45087
11136,no ID,44.92506,-93.45157
11137,no ID,44.92486,-93.45246
11138,no ID,44.92468,-93.45316
11139,no ID,44.92367,-93.45765
11140,no ID,44.92169,-93.47011
11141,no ID,44.91852,-93.48955
11142,no ID,44.91386,-93.50318
11143,no ID,44.91218,-93.50765
11144,no ID,44.91135,-93.50979
11145,no ID,44.91074,-93.51233
11146,no ID,44.91075,-93.51386
11147,no ID,44.91123,-93.51602
11148,no ID,44.91185,-93.51842
11149,no ID,44.91208,-93.52041
11150,no ID,44.91201,-93.52151
11151,no ID,44.91148,-93.52377
11152,no ID,44.91065,-93.52564
11153,no ID,44.90901,-93.53018
11154,no ID,44.90762,-93.53413
11155,no ID,44.9062,-93.53875
11156,no ID,44.90554,-93.54365
11157,no ID,44.90505,-93.54551
11158,no ID,44.90331,-93.54819
11159,no ID,44.90273,-93.54941
11160,no ID,44.90226,-93.55095
11161,no ID,44.90143,-93.55538
11162,no ID,44.90111,-93.55953
11163,no ID,44.90052,-93.56229
11164,no ID,44.89823,-93.56802
11165,no ID,44.89433,-93.57486
11166,no ID,44.89307,-93.57704
11167,no ID,44.89245,-93.57849
