,Name,Date,Direction,Road,Location,Event
10,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
11,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
12,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955352,Sun Oct 07 11:18:52 CDT 2018,EB,T.H.212,@ Shady Oak Rd,STALL
3,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
4,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
5,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
6,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
7,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
8,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
9,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
10,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
11,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
12,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955352,Sun Oct 07 11:18:52 CDT 2018,EB,T.H.212,@ Shady Oak Rd,STALL
3,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
4,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
5,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
6,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
7,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
8,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
9,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
10,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
11,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
12,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955352,Sun Oct 07 11:18:52 CDT 2018,EB,T.H.212,@ Shady Oak Rd,STALL
3,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
4,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
5,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
6,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
7,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
8,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
9,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
10,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
11,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
12,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955352,Sun Oct 07 11:18:52 CDT 2018,EB,T.H.212,@ Shady Oak Rd,STALL
3,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
4,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
5,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
6,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
7,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
8,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
9,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
10,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
11,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
12,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955352,Sun Oct 07 11:18:52 CDT 2018,EB,T.H.212,@ Shady Oak Rd,STALL
3,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
4,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
5,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
6,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
7,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
8,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
9,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
10,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
11,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
12,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955352,Sun Oct 07 11:18:52 CDT 2018,EB,T.H.212,@ Shady Oak Rd,STALL
3,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
4,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
5,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
6,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
7,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
8,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
9,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
10,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
11,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
12,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955352,Sun Oct 07 11:18:52 CDT 2018,EB,T.H.212,@ Shady Oak Rd,STALL
3,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
4,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
5,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
6,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
7,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
8,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
9,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
10,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
11,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
12,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
7,2018100710595175,Sun Oct 07 10:59:51 CDT 2018,NB,I-35W,@ 48th St,CRASH
8,L004_9955072,Sun Oct 07 09:02:42 CDT 2018,WB,I-90,NA,STALL
9,L004_9955290,Sun Oct 07 10:52:22 CDT 2018,SB,I-35E,@ Victoria St,STALL
10,L004_9955281,Sun Oct 07 10:48:12 CDT 2018,NB,T.H.61,@ Lower Afton Rd,HAZARD
11,2018100610453294,Sat Oct 06 10:45:32 CDT 2018,WB,T.H.36,@ I-35W NB,ROADWORK
0,L004_9955349,Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL
1,L004_9955231,Sun Oct 07 10:24:02 CDT 2018,EB,I-94,@ Cretin Ave,STALL
2,L004_9955315,Sun Oct 07 11:00:22 CDT 2018,WB,I-494,@ I-35E SB,STALL
3,L004_9955325,Sun Oct 07 11:04:12 CDT 2018,WB,I-494,NA,STALL
4,L004_9955320,Sun Oct 07 11:02:32 CDT 2018,EB,I-90,NA,HAZARD
5,2018100610332993,Sat Oct 06 10:33:29 CDT 2018,SB,I-35W,@ Cleveland Ave,ROADWORK
6,2018100610471533,Sat Oct 06 10:47:15 CDT 2018,EB,T.H.36,@ Cleveland Ave,ROADWORK
