,Station,Heading,Time,Order,Speed,Flow,Lat,Lng
122,S582,,Sun Oct 07 21:21:29 CDT 2018,,62,840,,
200,S582,,Sun Oct 07 21:21:29 CDT 2018,,62,840,,
60,S582,,Sun Oct 07 21:21:59 CDT 2018,,63,480,,
123,S582,,Sun Oct 07 21:21:59 CDT 2018,,63,480,,
201,S582,,Sun Oct 07 21:21:59 CDT 2018,,63,480,,
124,S582,,Sun Oct 07 21:22:29 CDT 2018,,87,280,,
202,S582,,Sun Oct 07 21:22:29 CDT 2018,,87,280,,
203,S582,,Sun Oct 07 21:22:59 CDT 2018,,64,920,,
15,S582,SB,Thu Oct 11 17:46:29 CDT 2018,30.0,69,1640,44.99115,-93.23659
9,S582,,Wed Oct 03 01:16:59 CDT 2018,,72,,,
10,S582,,Wed Oct 03 01:16:59 CDT 2018,,72,,,
57,S582,,Wed Oct 03 01:16:59 CDT 2018,,72,,,
58,S582,,Wed Oct 03 01:16:59 CDT 2018,,72,,,
120,S582,,Wed Oct 03 01:16:59 CDT 2018,,72,,,
121,S582,,Wed Oct 03 01:16:59 CDT 2018,,72,,,
198,S582,,Wed Oct 03 01:16:59 CDT 2018,,72,,,
199,S582,,Wed Oct 03 01:16:59 CDT 2018,,72,,,
5,S583,,Sun Oct 07 21:21:29 CDT 2018,,61,480,,
51,S583,,Sun Oct 07 21:21:29 CDT 2018,,61,480,,
112,S583,,Sun Oct 07 21:21:29 CDT 2018,,61,480,,
188,S583,,Sun Oct 07 21:21:29 CDT 2018,,61,480,,
52,S583,,Sun Oct 07 21:21:59 CDT 2018,,57,600,,
113,S583,,Sun Oct 07 21:21:59 CDT 2018,,57,600,,
189,S583,,Sun Oct 07 21:21:59 CDT 2018,,57,600,,
114,S583,,Sun Oct 07 21:22:29 CDT 2018,,58,480,,
190,S583,,Sun Oct 07 21:22:29 CDT 2018,,58,480,,
191,S583,,Sun Oct 07 21:22:59 CDT 2018,,59,360,,
16,S583,SB,Thu Oct 11 17:46:29 CDT 2018,31.0,22,1050,44.98175,-93.24397
3,S583,,Wed Oct 03 01:16:59 CDT 2018,,55,,,
4,S583,,Wed Oct 03 01:16:59 CDT 2018,,55,,,
49,S583,,Wed Oct 03 01:16:59 CDT 2018,,55,,,
50,S583,,Wed Oct 03 01:16:59 CDT 2018,,55,,,
110,S583,,Wed Oct 03 01:16:59 CDT 2018,,55,,,
111,S583,,Wed Oct 03 01:16:59 CDT 2018,,55,,,
186,S583,,Wed Oct 03 01:16:59 CDT 2018,,55,,,
187,S583,,Wed Oct 03 01:16:59 CDT 2018,,55,,,
13,S584,SB,Thu Oct 11 17:46:29 CDT 2018,33.0,21,1200,44.97472,-93.24883
14,S585,SB,Thu Oct 11 17:46:29 CDT 2018,38.0,6,720,44.9676,-93.25392
44,S587,,Sun Oct 07 21:21:29 CDT 2018,,53,240,,
103,S587,,Sun Oct 07 21:21:29 CDT 2018,,53,240,,
177,S587,,Sun Oct 07 21:21:29 CDT 2018,,53,240,,
266,S587,,Sun Oct 07 21:21:29 CDT 2018,,53,240,,
104,S587,,Sun Oct 07 21:21:59 CDT 2018,,52,360,,
178,S587,,Sun Oct 07 21:21:59 CDT 2018,,52,360,,
267,S587,,Sun Oct 07 21:21:59 CDT 2018,,52,360,,
179,S587,,Sun Oct 07 21:22:29 CDT 2018,,53,180,,
268,S587,,Sun Oct 07 21:22:29 CDT 2018,,53,180,,
269,S587,,Sun Oct 07 21:22:59 CDT 2018,,56,120,,
28,S587,NB,Thu Oct 11 17:46:29 CDT 2018,25.0,62,780,45.00891,-93.20233
42,S587,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
43,S587,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
101,S587,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
102,S587,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
175,S587,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
176,S587,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
264,S587,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
265,S587,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
78,S59,NB,Thu Oct 11 17:46:29 CDT 2018,58.0,0,0,44.93979,-93.27461
33,S6,SB,Thu Oct 11 17:46:29 CDT 2018,46.0,0,0,44.94636,-93.27494
80,S60,NB,Thu Oct 11 17:46:29 CDT 2018,55.0,65,1240,44.9464,-93.27461
82,S61,NB,Thu Oct 11 17:46:29 CDT 2018,54.0,0,0,44.95176,-93.27332
37,S618,SB,Thu Oct 11 17:46:29 CDT 2018,21.0,64,780,45.01032,-93.18502
81,S62,NB,Thu Oct 11 17:46:29 CDT 2018,53.0,50,1800,44.95539,-93.27022
84,S63,NB,Thu Oct 11 17:46:29 CDT 2018,51.0,0,0,44.9625,-93.26916
83,S64,NB,Thu Oct 11 17:46:29 CDT 2018,52.0,0,0,44.96239,-93.26959
42,S652,NB,Thu Oct 11 17:46:29 CDT 2018,19.0,61,1200,45.01584,-93.18749
43,S653,NB,Thu Oct 11 17:46:29 CDT 2018,17.0,65,1080,45.02218,-93.18969
41,S654,NB,Thu Oct 11 17:46:29 CDT 2018,15.0,65,1440,45.02788,-93.19084
