 , , ,Sum (From 3 PM to 7 PM every 15 minutes),Average (From 3 PM to 7 PM every 15 minutes),Sum (From 5 AM to 9 AM every 15 minutes),Average (From 5 AM to 9 AM every 15 minutes)
S10,Volume,8/17/2018,11422,713.875,9810,613.125
S10,Volume,8/20/2018,11338,708.625,9353,584.5625
S10,Volume,8/21/2018,12169,760.5625,10345,646.5625
S10,Volume,8/22/2018,12394,774.625,10104,631.5
S10,Volume,8/23/2018,12263,766.4375,10137,633.5625
S10,Volume,8/24/2018,10836,677.25,9075,567.1875
S10,Volume,8/27/2018,11361,710.0625,9847,615.4375
S10,Volume,8/28/2018,11998,749.875,9340,583.75
S10,Volume,8/29/2018,11115,694.6875,10091,630.6875
S10,Volume,8/30/2018,11894,743.375,9847,615.4375
S10,Volume,8/31/2018,11316,707.25,9433,589.5625
S10,Volume,9/3/2018,10486,655.375,2831,176.9375
S10,Volume,9/4/2018,10831,676.9375,9733,608.3125
S10,Volume,9/5/2018,11891,743.1875,10255,640.9375
S10,Volume,9/6/2018,11634,727.125,9858,616.125
S10,Volume,9/7/2018,11396,712.25,10203,637.6875
S10,Volume,9/10/2018,11730,733.125,10042,627.625
S10,Volume,9/11/2018,11846,740.375,10056,628.5
S10,Volume,9/12/2018,11821,738.8125,10252,640.75
S10,Volume,9/13/2018,11835,739.6875,10091,630.6875
S10,Volume,9/14/2018,11807,737.9375,10032,627
S10,Volume,9/17/2018,10986,686.625,10032,627
S10,Volume,9/18/2018,12474,779.625,10031,626.9375
S10,Volume,9/19/2018,11873,742.0625,10082,630.125
S10,Volume,9/20/2018,9841,615.0625,9396,587.25
S10,Volume,9/21/2018,11748,734.25,9442,590.125
S10,Volume,9/24/2018,12390,774.375,10271,641.9375
S10,Volume,9/25/2018,12565,785.3125,10714,669.625
S10,Volume,9/26/2018,11104,694,10246,640.375
S10,Volume,9/27/2018,12983,811.4375,10584,661.5
S10,Volume,9/28/2018,10933,683.3125,9880,617.5
S10,Volume,10/1/2018,12369,773.0625,10381,648.8125
S10,Volume,10/2/2018,12463,778.9375,10469,654.3125
S10,Volume,10/3/2018,11277,704.8125,10192,637
S10,Volume,10/4/2018,12095,755.9375,9248,578
S10,Volume,10/5/2018,11530,720.625,9418,588.625
S1148,Volume,8/1/2017,16625,1039.0625,14047,877.9375
S1148,Volume,8/2/2017,17424,1089,13976,873.5
S1148,Volume,8/3/2017,16332,1020.75,12362,772.625
S1148,Volume,8/4/2017,16391,1024.4375,12858,803.625
S1148,Volume,8/7/2017,15838,989.875,13374,835.875
S1148,Volume,8/8/2017,16388,1024.25,13800,862.5
S1148,Volume,8/9/2017,15788,986.75,13657,853.5625
S1148,Volume,8/10/2017,16764,1047.75,13778,861.125
S1148,Volume,8/11/2017,16087,1005.4375,12548,784.25
S1148,Volume,8/14/2017,16246,1015.375,13445,840.3125
S1148,Volume,8/15/2017,16230,1014.375,13518,844.875
S1148,Volume,8/16/2017,16860,1053.75,13048,815.5
S1148,Volume,8/17/2017,16526,1032.875,13248,828
S1148,Volume,8/18/2017,16257,1016.0625,12731,795.6875
S1148,Volume,8/21/2017,15645,977.8125,13352,834.5
S1148,Volume,8/22/2017,17015,1063.4375,13755,859.6875
S1148,Volume,8/23/2017,17059,1066.1875,13624,851.5
S1148,Volume,8/24/2017,17104,1069,13582,848.875
S1148,Volume,8/25/2017,17027,1064.1875,12238,764.875
S1148,Volume,8/28/2017,16146,1009.125,13481,842.5625
S1148,Volume,8/29/2017,16228,1014.25,13927,870.4375
S1148,Volume,8/30/2017,17067,1066.6875,13973,873.3125
S1148,Volume,8/31/2017,16917,1057.3125,14021,876.3125
S1148,Volume,9/1/2017,16913,1057.0625,12315,769.6875
S1148,Volume,9/4/2017,11803,737.6875,3330,208.125
S1148,Volume,9/5/2017,16547,1034.1875,14193,887.0625
S1148,Volume,9/6/2017,16911,1056.9375,14164,885.25
S1148,Volume,9/7/2017,17290,1080.625,14499,906.1875
S1148,Volume,9/8/2017,16772,1048.25,13920,870
S1148,Volume,9/11/2017,15729,983.0625,14161,885.0625
S1148,Volume,9/12/2017,16102,1006.375,11241,702.5625
S1148,Volume,9/13/2017,16535,1033.4375,14012,875.75
S1148,Volume,9/14/2017,16705,1044.0625,13923,870.1875
S1148,Volume,9/15/2017,15517,969.8125,11466,716.625
S1148,Volume,9/18/2017,15007,937.9375,11088,693
S1148,Volume,9/19/2017,16292,1018.25,11741,733.8125
S1148,Volume,9/20/2017,16474,1029.625,11638,727.375
S1148,Volume,9/21/2017,16635,1039.6875,11677,729.8125
S1148,Volume,9/22/2017,15299,956.1875,11402,712.625
S1148,Volume,9/25/2017,14642,915.125,11616,726
S1148,Volume,9/26/2017,15441,965.0625,13197,824.8125
S1148,Volume,9/27/2017,15116,944.75,11718,732.375
S1148,Volume,9/28/2017,16045,1002.8125,13802,862.625
S1148,Volume,9/29/2017,16017,1001.0625,12983,811.4375
S1148,Volume,8/1/2018,13926,870.375,11933,745.8125
S1148,Volume,8/2/2018,14078,879.875,12223,763.9375
S1148,Volume,8/3/2018,12662,791.375,10508,656.75
S1148,Volume,8/6/2018,12347,771.6875,11844,740.25
S1148,Volume,8/7/2018,12737,796.0625,12224,764
S1148,Volume,8/8/2018,12991,811.9375,11814,738.375
S1148,Volume,8/9/2018,13310,831.875,12142,758.875
S1148,Volume,8/10/2018,12235,764.6875,10749,671.8125
S1148,Volume,8/13/2018,12664,791.5,11822,738.875
S1148,Volume,8/14/2018,13117,819.8125,12233,764.5625
S1148,Volume,8/15/2018,13409,838.0625,12289,768.0625
S1148,Volume,8/16/2018,13031,814.4375,11796,737.25
S1148,Volume,8/17/2018,12923,807.6875,10852,678.25
S1148,Volume,8/20/2018,12668,791.75,11183,698.9375
S1148,Volume,8/21/2018,12962,810.125,12100,756.25
S1148,Volume,8/22/2018,13515,844.6875,8912,557
S1148,Volume,8/23/2018,13392,837,11496,718.5
S1148,Volume,8/24/2018,12418,776.125,10158,634.875
S1148,Volume,8/27/2018,12809,800.5625,11760,735
S1148,Volume,8/28/2018,13081,817.5625,11683,730.1875
S1148,Volume,8/29/2018,13158,822.375,12038,752.375
S1148,Volume,8/30/2018,13271,829.4375,11872,742
S1148,Volume,8/31/2018,12268,766.75,10179,636.1875
S1148,Volume,9/3/2018,9198,574.875,2523,157.6875
S1148,Volume,9/4/2018,11898,743.625,11864,741.5
S1148,Volume,9/5/2018,13433,839.5625,12297,768.5625
S1148,Volume,9/6/2018,13201,825.0625,12128,758
S1148,Volume,9/7/2018,13243,827.6875,11830,739.375
S1148,Volume,9/10/2018,13169,823.0625,12020,751.25
S1148,Volume,9/11/2018,12872,804.5,12385,774.0625
S1148,Volume,9/12/2018,13183,823.9375,12615,788.4375
S1148,Volume,9/13/2018,13192,824.5,12376,773.5
S1148,Volume,9/14/2018,13532,845.75,11786,736.625
S1148,Volume,9/17/2018,12121,757.5625,12204,762.75
S1148,Volume,9/18/2018,13395,837.1875,12121,757.5625
S1148,Volume,9/19/2018,13402,837.625,11905,744.0625
S1148,Volume,9/20/2018,12069,754.3125,11365,710.3125
S1148,Volume,9/21/2018,13298,831.125,11176,698.5
S1148,Volume,9/24/2018,13363,835.1875,11732,733.25
S1148,Volume,9/25/2018,13269,829.3125,12621,788.8125
S1148,Volume,9/26/2018,12879,804.9375,12540,783.75
S1148,Volume,9/27/2018,13869,866.8125,12552,784.5
S1148,Volume,9/28/2018,12878,804.875,11683,730.1875
S1148,Volume,10/1/2018,13118,819.875,12276,767.25
S1148,Volume,10/2/2018,13498,843.625,12486,780.375
S1148,Volume,10/3/2018,13231,826.9375,10053,628.3125
S1148,Volume,10/4/2018,13703,856.4375,11741,733.8125
S1148,Volume,10/5/2018,13403,837.6875,11265,704.0625
S13,Volume,8/1/2017,9590,599.375,5087,317.9375
S13,Volume,8/2/2017,9547,596.6875,5141,321.3125
S13,Volume,8/3/2017,9688,605.5,4543,283.9375
S13,Volume,8/4/2017,9306,581.625,5441,340.0625
S13,Volume,8/7/2017,9241,577.5625,5028,314.25
S13,Volume,8/8/2017,9635,602.1875,4986,311.625
S13,Volume,8/9/2017,8679,542.4375,4951,309.4375
S13,Volume,8/10/2017,9782,611.375,5237,327.3125
S13,Volume,8/11/2017,9356,584.75,5429,339.3125
S13,Volume,8/14/2017,9777,611.0625,5218,326.125
S13,Volume,8/15/2017,8961,560.0625,4959,309.9375
S13,Volume,8/16/2017,9905,619.0625,4926,307.875
S13,Volume,8/17/2017,9385,586.5625,4951,309.4375
S13,Volume,8/18/2017,9589,599.3125,5511,344.4375
S13,Volume,8/21/2017,9341,583.8125,5476,342.25
S13,Volume,8/22/2017,9659,603.6875,5332,333.25
S13,Volume,8/23/2017,10104,631.5,5056,316
S13,Volume,8/24/2017,9777,611.0625,5242,327.625
S13,Volume,8/25/2017,9580,598.75,4969,310.5625
S13,Volume,8/28/2017,9130,570.625,5271,329.4375
S13,Volume,8/29/2017,8953,559.5625,5228,326.75
S13,Volume,8/30/2017,9809,613.0625,5233,327.0625
S13,Volume,8/31/2017,9417,588.5625,5365,335.3125
S13,Volume,9/1/2017,9222,576.375,5742,358.875
S13,Volume,9/4/2017,6826,426.625,2023,126.4375
S13,Volume,9/5/2017,9634,602.125,5739,358.6875
S13,Volume,9/6/2017,10129,633.0625,5413,338.3125
S13,Volume,9/7/2017,10118,632.375,5751,359.4375
S13,Volume,9/8/2017,9868,616.75,5655,353.4375
S13,Volume,9/11/2017,9766,610.375,5322,332.625
S13,Volume,9/12/2017,9536,596,6832,427
S13,Volume,9/13/2017,10058,628.625,5167,322.9375
S13,Volume,9/14/2017,9816,613.5,5242,327.625
S13,Volume,9/15/2017,9524,595.25,7101,443.8125
S13,Volume,9/18/2017,9452,590.75,6874,429.625
S13,Volume,9/19/2017,10180,636.25,7136,446
S13,Volume,9/20/2017,9782,611.375,7049,440.5625
S13,Volume,9/21/2017,9821,613.8125,6910,431.875
S13,Volume,9/22/2017,7993,499.5625,7007,437.9375
S13,Volume,9/25/2017,9330,583.125,6511,406.9375
S13,Volume,9/26/2017,9512,594.5,5171,323.1875
S13,Volume,9/27/2017,8560,535,6920,432.5
S13,Volume,9/28/2017,9682,605.125,5441,340.0625
S13,Volume,9/29/2017,9352,584.5,5537,346.0625
S13,Volume,8/1/2018,8917,557.3125,4522,282.625
S13,Volume,8/2/2018,8827,551.6875,5000,312.5
S13,Volume,8/3/2018,8376,523.5,5045,315.3125
S13,Volume,8/6/2018,7871,491.9375,4843,302.6875
S13,Volume,8/7/2018,8513,532.0625,4847,302.9375
S13,Volume,8/8/2018,8474,529.625,4733,295.8125
S13,Volume,8/9/2018,8621,538.8125,5119,319.9375
S13,Volume,8/10/2018,8077,504.8125,5054,315.875
S13,Volume,8/13/2018,8510,531.875,4976,311
S13,Volume,8/14/2018,8709,544.3125,4935,308.4375
S13,Volume,8/15/2018,8856,553.5,5134,320.875
S13,Volume,8/16/2018,8526,532.875,5008,313
S13,Volume,8/17/2018,8576,536,5285,330.3125
S13,Volume,8/20/2018,8746,546.625,4788,299.25
S13,Volume,8/21/2018,8142,508.875,5067,316.6875
S13,Volume,8/22/2018,8940,558.75,4046,252.875
S13,Volume,8/23/2018,8962,560.125,4826,301.625
S13,Volume,8/24/2018,7830,489.375,4618,288.625
S13,Volume,8/27/2018,8491,530.6875,5151,321.9375
S13,Volume,8/28/2018,8839,552.4375,4788,299.25
S13,Volume,8/29/2018,8853,553.3125,5148,321.75
S13,Volume,8/30/2018,8819,551.1875,5236,327.25
S13,Volume,8/31/2018,8143,508.9375,5164,322.75
S13,Volume,9/3/2018,5792,362,1781,111.3125
S13,Volume,9/4/2018,7644,477.75,5251,328.1875
S13,Volume,9/5/2018,9290,580.625,5173,323.3125
S13,Volume,9/6/2018,8728,545.5,5232,327
S13,Volume,9/7/2018,8606,537.875,5329,333.0625
S13,Volume,9/10/2018,8958,559.875,5145,321.5625
S13,Volume,9/11/2018,8607,537.9375,5086,317.875
S13,Volume,9/12/2018,8861,553.8125,4915,307.1875
S13,Volume,9/13/2018,8688,543,5190,324.375
S13,Volume,9/14/2018,8907,556.6875,5213,325.8125
S13,Volume,9/17/2018,8327,520.4375,5132,320.75
S13,Volume,9/18/2018,9114,569.625,4828,301.75
S13,Volume,9/19/2018,9033,564.5625,4930,308.125
S13,Volume,9/20/2018,7589,474.3125,4554,284.625
S13,Volume,9/21/2018,8467,529.1875,4970,310.625
S13,Volume,9/24/2018,8909,556.8125,4869,304.3125
S13,Volume,9/25/2018,8889,555.5625,5001,312.5625
S13,Volume,9/26/2018,8755,547.1875,5066,316.625
S13,Volume,9/27/2018,9133,570.8125,5068,316.75
S13,Volume,9/28/2018,8168,510.5,5090,318.125
S13,Volume,10/1/2018,9135,570.9375,5084,317.75
S13,Volume,10/2/2018,9355,584.6875,4923,307.6875
S13,Volume,10/3/2018,8888,555.5,4388,274.25
S13,Volume,10/4/2018,8818,551.125,5089,318.0625
S13,Volume,10/5/2018,8770,548.125,4876,304.75
S14,Volume,8/1/2017,13426,839.125,11832,739.5
S14,Volume,8/2/2017,13259,828.6875,11710,731.875
S14,Volume,8/3/2017,12883,805.1875,10370,648.125
S14,Volume,8/4/2017,12275,767.1875,10688,668
S14,Volume,8/7/2017,13224,826.5,10728,670.5
S14,Volume,8/8/2017,13172,823.25,11070,691.875
S14,Volume,8/9/2017,12340,771.25,11226,701.625
S14,Volume,8/10/2017,13031,814.4375,11288,705.5
S14,Volume,8/11/2017,12767,797.9375,10544,659
S14,Volume,8/14/2017,13393,837.0625,11094,693.375
S14,Volume,8/15/2017,12816,801,11092,693.25
S14,Volume,8/16/2017,13620,851.25,10286,642.875
S14,Volume,8/17/2017,12431,776.9375,10852,678.25
S14,Volume,8/18/2017,12714,794.625,10633,664.5625
S14,Volume,8/21/2017,12727,795.4375,10549,659.3125
S14,Volume,8/22/2017,13284,830.25,10838,677.375
S14,Volume,8/23/2017,12857,803.5625,10847,677.9375
S14,Volume,8/24/2017,13151,821.9375,10907,681.6875
S14,Volume,8/25/2017,13174,823.375,10069,629.3125
S14,Volume,8/28/2017,12798,799.875,10256,641
S14,Volume,8/29/2017,12969,810.5625,11013,688.3125
S14,Volume,8/30/2017,12498,781.125,11159,697.4375
S14,Volume,8/31/2017,11921,745.0625,11395,712.1875
S14,Volume,9/1/2017,12029,751.8125,10460,653.75
S14,Volume,9/4/2017,9929,620.5625,3430,214.375
S14,Volume,9/5/2017,13769,860.5625,11529,720.5625
S14,Volume,9/6/2017,13710,856.875,11544,721.5
S14,Volume,9/7/2017,13247,827.9375,11994,749.625
S14,Volume,9/8/2017,12871,804.4375,9558,597.375
S14,Volume,9/11/2017,13067,816.6875,11243,702.6875
S14,Volume,9/12/2017,13315,832.1875,8604,537.75
S14,Volume,9/13/2017,13686,855.375,10922,682.625
S14,Volume,9/14/2017,13318,832.375,11184,699
S14,Volume,9/15/2017,12035,752.1875,10306,644.125
S14,Volume,9/18/2017,12201,762.5625,9441,590.0625
S14,Volume,9/19/2017,13275,829.6875,10326,645.375
S14,Volume,9/20/2017,12771,798.1875,10294,643.375
S14,Volume,9/21/2017,12693,793.3125,9638,602.375
S14,Volume,9/22/2017,0,0,10279,642.4375
S14,Volume,9/25/2017,0,0,0,0
S14,Volume,9/26/2017,0,0,0,0
S14,Volume,9/27/2017,0,0,0,0
S14,Volume,9/28/2017,0,0,0,0
S14,Volume,9/29/2017,0,0,0,0
S14,Volume,8/1/2018,8748,546.75,7919,494.9375
S14,Volume,8/2/2018,8582,536.375,8228,514.25
S14,Volume,8/3/2018,8008,500.5,7513,469.5625
S14,Volume,8/6/2018,7911,494.4375,8016,501
S14,Volume,8/7/2018,8331,520.6875,8097,506.0625
S14,Volume,8/8/2018,8260,516.25,7403,462.6875
S14,Volume,8/9/2018,8470,529.375,8034,502.125
S14,Volume,8/10/2018,8001,500.0625,7373,460.8125
S14,Volume,8/13/2018,8166,510.375,7723,482.6875
S14,Volume,8/14/2018,8714,544.625,8164,510.25
S14,Volume,8/15/2018,8443,527.6875,8274,517.125
S14,Volume,8/16/2018,8473,529.5625,7994,499.625
S14,Volume,8/17/2018,8060,503.75,7463,466.4375
S14,Volume,8/20/2018,8165,510.3125,7297,456.0625
S14,Volume,8/21/2018,8604,537.75,8080,505
S14,Volume,8/22/2018,8883,555.1875,7529,470.5625
S14,Volume,8/23/2018,8853,553.3125,7966,497.875
S14,Volume,8/24/2018,7874,492.125,6964,435.25
S14,Volume,8/27/2018,8133,508.3125,7864,491.5
S14,Volume,8/28/2018,8452,528.25,7636,477.25
S14,Volume,8/29/2018,8168,510.5,8189,511.8125
S14,Volume,8/30/2018,8516,532.25,7876,492.25
S14,Volume,8/31/2018,7894,493.375,7147,446.6875
S14,Volume,9/3/2018,6540,408.75,2010,125.625
S14,Volume,9/4/2018,6749,421.8125,7749,484.3125
S14,Volume,9/5/2018,8513,532.0625,8223,513.9375
S14,Volume,9/6/2018,8371,523.1875,7960,497.5
S14,Volume,9/7/2018,8309,519.3125,7870,491.875
S14,Volume,9/10/2018,8446,527.875,8057,503.5625
S14,Volume,9/11/2018,8419,526.1875,8234,514.625
S14,Volume,9/12/2018,8493,530.8125,8329,520.5625
S14,Volume,9/13/2018,8588,536.75,8124,507.75
S14,Volume,9/14/2018,8470,529.375,7851,490.6875
S14,Volume,9/17/2018,7912,494.5,8014,500.875
S14,Volume,9/18/2018,8899,556.1875,8089,505.5625
S14,Volume,9/19/2018,8632,539.5,8084,505.25
S14,Volume,9/20/2018,7508,469.25,7497,468.5625
S14,Volume,9/21/2018,8598,537.375,7575,473.4375
S14,Volume,9/24/2018,8729,545.5625,8179,511.1875
S14,Volume,9/25/2018,8843,552.6875,8576,536
S14,Volume,9/26/2018,8255,515.9375,8370,523.125
S14,Volume,9/27/2018,9216,576,8450,528.125
S14,Volume,9/28/2018,8090,505.625,7686,480.375
S14,Volume,10/1/2018,8719,544.9375,8266,516.625
S14,Volume,10/2/2018,8843,552.6875,8445,527.8125
S14,Volume,10/3/2018,8415,525.9375,7793,487.0625
S14,Volume,10/4/2018,8860,553.75,7692,480.75
S14,Volume,10/5/2018,8512,532,7507,469.1875
S15,Volume,8/1/2017,9671,604.4375,8202,512.625
S15,Volume,8/2/2017,9907,619.1875,8185,511.5625
S15,Volume,8/3/2017,9177,573.5625,7237,452.3125
S15,Volume,8/4/2017,9042,565.125,7616,476
S15,Volume,8/7/2017,9429,589.3125,7716,482.25
S15,Volume,8/8/2017,9603,600.1875,8035,502.1875
S15,Volume,8/9/2017,9136,571,7899,493.6875
S15,Volume,8/10/2017,9566,597.875,8111,506.9375
S15,Volume,8/11/2017,9351,584.4375,7491,468.1875
S15,Volume,8/14/2017,9494,593.375,7900,493.75
S15,Volume,8/15/2017,9393,587.0625,7985,499.0625
S15,Volume,8/16/2017,9765,610.3125,7550,471.875
S15,Volume,8/17/2017,8981,561.3125,7801,487.5625
S15,Volume,8/18/2017,9285,580.3125,7551,471.9375
S15,Volume,8/21/2017,9075,567.1875,7732,483.25
S15,Volume,8/22/2017,9743,608.9375,7932,495.75
S15,Volume,8/23/2017,9678,604.875,7749,484.3125
S15,Volume,8/24/2017,9763,610.1875,7868,491.75
S15,Volume,8/25/2017,9616,601,7152,447
S15,Volume,8/28/2017,9239,577.4375,7787,486.6875
S15,Volume,8/29/2017,9414,588.375,8001,500.0625
S15,Volume,8/30/2017,9450,590.625,8034,502.125
S15,Volume,8/31/2017,9209,575.5625,8158,509.875
S15,Volume,9/1/2017,9053,565.8125,7358,459.875
S15,Volume,9/4/2017,6782,423.875,2263,141.4375
S15,Volume,9/5/2017,9593,599.5625,8311,519.4375
S15,Volume,9/6/2017,10027,626.6875,8370,523.125
S15,Volume,9/7/2017,9937,621.0625,8384,524
S15,Volume,9/8/2017,9638,602.375,8184,511.5
S15,Volume,9/11/2017,9306,581.625,8014,500.875
S15,Volume,9/12/2017,9509,594.3125,5746,359.125
S15,Volume,9/13/2017,9897,618.5625,7878,492.375
S15,Volume,9/14/2017,9749,609.3125,8080,505
S15,Volume,9/15/2017,8606,537.875,6509,406.8125
S15,Volume,9/18/2017,8738,546.125,6128,383
S15,Volume,9/19/2017,9356,584.75,6759,422.4375
S15,Volume,9/20/2017,9535,595.9375,6880,430
S15,Volume,9/21/2017,9610,600.625,6644,415.25
S15,Volume,9/22/2017,8623,538.9375,6871,429.4375
S15,Volume,9/25/2017,8239,514.9375,6583,411.4375
S15,Volume,9/26/2017,8809,550.5625,7500,468.75
S15,Volume,9/27/2017,8568,535.5,6797,424.8125
S15,Volume,9/28/2017,9091,568.1875,7704,481.5
S15,Volume,9/29/2017,8766,547.875,7401,462.5625
S15,Volume,8/1/2018,7029,439.3125,6381,398.8125
S15,Volume,8/2/2018,6879,429.9375,6563,410.1875
S15,Volume,8/3/2018,6261,391.3125,5835,364.6875
S15,Volume,8/6/2018,6128,383,6309,394.3125
S15,Volume,8/7/2018,6522,407.625,6479,404.9375
S15,Volume,8/8/2018,6534,408.375,5978,373.625
S15,Volume,8/9/2018,6694,418.375,6341,396.3125
S15,Volume,8/10/2018,6292,393.25,5860,366.25
S15,Volume,8/13/2018,6559,409.9375,6123,382.6875
S15,Volume,8/14/2018,6843,427.6875,6632,414.5
S15,Volume,8/15/2018,6894,430.875,6585,411.5625
S15,Volume,8/16/2018,6758,422.375,6434,402.125
S15,Volume,8/17/2018,6402,400.125,5894,368.375
S15,Volume,8/20/2018,6548,409.25,5926,370.375
S15,Volume,8/21/2018,6774,423.375,6413,400.8125
S15,Volume,8/22/2018,7110,444.375,5815,363.4375
S15,Volume,8/23/2018,7035,439.6875,6295,393.4375
S15,Volume,8/24/2018,6356,397.25,5469,341.8125
S15,Volume,8/27/2018,6615,413.4375,6263,391.4375
S15,Volume,8/28/2018,6754,422.125,6182,386.375
S15,Volume,8/29/2018,6670,416.875,6507,406.6875
S15,Volume,8/30/2018,6730,420.625,6353,397.0625
S15,Volume,8/31/2018,6196,387.25,5585,349.0625
S15,Volume,9/3/2018,4955,309.6875,1438,89.875
S15,Volume,9/4/2018,5455,340.9375,6131,383.1875
S15,Volume,9/5/2018,6968,435.5,6607,412.9375
S15,Volume,9/6/2018,6653,415.8125,6456,403.5
S15,Volume,9/7/2018,6623,413.9375,6330,395.625
S15,Volume,9/10/2018,6721,420.0625,6449,403.0625
S15,Volume,9/11/2018,6747,421.6875,6678,417.375
S15,Volume,9/12/2018,6783,423.9375,6594,412.125
S15,Volume,9/13/2018,6755,422.1875,6508,406.75
S15,Volume,9/14/2018,6641,415.0625,6102,381.375
S15,Volume,9/17/2018,6402,400.125,6412,400.75
S15,Volume,9/18/2018,6951,434.4375,6438,402.375
S15,Volume,9/19/2018,6850,428.125,6423,401.4375
S15,Volume,9/20/2018,6088,380.5,6020,376.25
S15,Volume,9/21/2018,6693,418.3125,5986,374.125
S15,Volume,9/24/2018,6805,425.3125,6468,404.25
S15,Volume,9/25/2018,6811,425.6875,6787,424.1875
S15,Volume,9/26/2018,6548,409.25,6611,413.1875
S15,Volume,9/27/2018,7092,443.25,6654,415.875
S15,Volume,9/28/2018,6352,397,6280,392.5
S15,Volume,10/1/2018,6770,423.125,6596,412.25
S15,Volume,10/2/2018,6838,427.375,6758,422.375
S15,Volume,10/3/2018,6678,417.375,5595,349.6875
S15,Volume,10/4/2018,6845,427.8125,6092,380.75
S15,Volume,10/5/2018,6572,410.75,5804,362.75
S17,Volume,8/1/2017,9887,617.9375,7946,496.625
S17,Volume,8/2/2017,10051,628.1875,8012,500.75
S17,Volume,8/3/2017,9497,593.5625,6955,434.6875
S17,Volume,8/4/2017,9227,576.6875,7660,478.75
S17,Volume,8/7/2017,9499,593.6875,7705,481.5625
S17,Volume,8/8/2017,9675,604.6875,7793,487.0625
S17,Volume,8/9/2017,9223,576.4375,7917,494.8125
S17,Volume,8/10/2017,9738,608.625,8102,506.375
S17,Volume,8/11/2017,9461,591.3125,7443,465.1875
S17,Volume,8/14/2017,9653,603.3125,7924,495.25
S17,Volume,8/15/2017,9475,592.1875,7822,488.875
S17,Volume,8/16/2017,10028,626.75,7530,470.625
S17,Volume,8/17/2017,9006,562.875,7758,484.875
S17,Volume,8/18/2017,9407,587.9375,7580,473.75
S17,Volume,8/21/2017,9325,582.8125,7740,483.75
S17,Volume,8/22/2017,9970,623.125,7791,486.9375
S17,Volume,8/23/2017,9978,623.625,7658,478.625
S17,Volume,8/24/2017,9829,614.3125,8014,500.875
S17,Volume,8/25/2017,9742,608.875,7211,450.6875
S17,Volume,8/28/2017,9365,585.3125,7743,483.9375
S17,Volume,8/29/2017,9562,597.625,7998,499.875
S17,Volume,8/30/2017,9593,599.5625,8047,502.9375
S17,Volume,8/31/2017,9393,587.0625,8087,505.4375
S17,Volume,9/1/2017,9163,572.6875,7327,457.9375
S17,Volume,9/4/2017,6739,421.1875,2261,141.3125
S17,Volume,9/5/2017,9873,617.0625,8330,520.625
S17,Volume,9/6/2017,10165,635.3125,8298,518.625
S17,Volume,9/7/2017,10003,625.1875,8345,521.5625
S17,Volume,9/8/2017,9711,606.9375,8078,504.875
S17,Volume,9/11/2017,9396,587.25,7974,498.375
S17,Volume,9/12/2017,9640,602.5,5301,331.3125
S17,Volume,9/13/2017,10029,626.8125,7651,478.1875
S17,Volume,9/14/2017,9904,619,7832,489.5
S17,Volume,9/15/2017,8713,544.5625,6044,377.75
S17,Volume,9/18/2017,8840,552.5,5661,353.8125
S17,Volume,9/19/2017,9389,586.8125,6140,383.75
S17,Volume,9/20/2017,9618,601.125,6220,388.75
S17,Volume,9/21/2017,9789,611.8125,6187,386.6875
S17,Volume,9/22/2017,8743,546.4375,6673,417.0625
S17,Volume,9/25/2017,8256,516,6134,383.375
S17,Volume,9/26/2017,8870,554.375,7423,463.9375
S17,Volume,9/27/2017,8714,544.625,6245,390.3125
S17,Volume,9/28/2017,9147,571.6875,7725,482.8125
S17,Volume,9/29/2017,8910,556.875,7486,467.875
S17,Volume,8/1/2018,6993,437.0625,6393,399.5625
S17,Volume,8/2/2018,6882,430.125,6560,410
S17,Volume,8/3/2018,6207,387.9375,5822,363.875
S17,Volume,8/6/2018,6106,381.625,6287,392.9375
S17,Volume,8/7/2018,6514,407.125,6417,401.0625
S17,Volume,8/8/2018,6507,406.6875,5961,372.5625
S17,Volume,8/9/2018,6654,415.875,6335,395.9375
S17,Volume,8/10/2018,6210,388.125,5825,364.0625
S17,Volume,8/13/2018,6524,407.75,6099,381.1875
S17,Volume,8/14/2018,6814,425.875,6553,409.5625
S17,Volume,8/15/2018,6892,430.75,6514,407.125
S17,Volume,8/16/2018,6738,421.125,6391,399.4375
S17,Volume,8/17/2018,6352,397,5854,365.875
S17,Volume,8/20/2018,6540,408.75,5929,370.5625
S17,Volume,8/21/2018,6744,421.5,6360,397.5
S17,Volume,8/22/2018,7122,445.125,5128,320.5
S17,Volume,8/23/2018,7023,438.9375,6258,391.125
S17,Volume,8/24/2018,6386,399.125,5419,338.6875
S17,Volume,8/27/2018,6541,408.8125,6212,388.25
S17,Volume,8/28/2018,6712,419.5,6165,385.3125
S17,Volume,8/29/2018,6690,418.125,6499,406.1875
S17,Volume,8/30/2018,6742,421.375,6297,393.5625
S17,Volume,8/31/2018,6211,388.1875,5594,349.625
S17,Volume,9/3/2018,4942,308.875,1435,89.6875
S17,Volume,9/4/2018,5747,359.1875,6150,384.375
S17,Volume,9/5/2018,6916,432.25,6603,412.6875
S17,Volume,9/6/2018,6682,417.625,6408,400.5
S17,Volume,9/7/2018,6625,414.0625,6282,392.625
S17,Volume,9/10/2018,6708,419.25,6390,399.375
S17,Volume,9/11/2018,6716,419.75,6625,414.0625
S17,Volume,9/12/2018,6811,425.6875,6585,411.5625
S17,Volume,9/13/2018,6754,422.125,6492,405.75
